axon-0average-points-error,axon-1average-points-error,axon-2average-points-error,axon-3average-points-error,axon-4average-points-error,axon-5average-points-error,axon-6average-points-error,axon-7average-points-error,axon-8average-points-error,axon-9average-points-error,axon-10average-points-error,axon-11average-points-error,axon-12average-points-error,axon-13average-points-error,axon-14average-points-error,axon-15average-points-error,axon-16average-points-error,axon-17average-points-error,axon-18average-points-error,axon-19average-points-error,axon-20average-points-error,axon-21average-points-error,axon-22average-points-error,axon-23average-points-error,axon-24average-points-error,axon-25average-points-error,axon-26average-points-error,axon-27average-points-error,axon-28average-points-error,axon-29average-points-error
2.18012087913,2.64753475286,1.45609891494,3.44259950137,2.83069321132,nan,2.46783294168,2.08284353495,2.79226937462,2.47011476895,3.16946750197,3.95307296868,9.41356404846,3.3437322994,10.6505777403,nan,4.67972948579,nan,1.82547865903,2.09452953689,2.2418642215,5.16664926852,2.67711233444,4.23862077155,2.55290957899,3.18585291316,2.86264725991,2.13802890325,1.54168771141,2.20854641964
2.26914231346,2.19329514269,1.52244888308,3.27379514942,2.87022556322,nan,2.25721218478,2.08676338964,2.75677958761,2.45058036797,3.39063893177,3.86285377218,9.89604470733,3.20946714787,10.4668961508,nan,4.61474943922,nan,1.92849404635,2.31340072618,2.27660833716,4.7121409254,2.65378049325,4.51380813073,2.36180773587,3.14382180355,2.84588479866,2.09963454924,1.55134573437,2.5590918897
2.36090319466,2.17465408691,1.5487227743,3.22991406931,2.99236943891,nan,2.19582885186,2.14310811581,2.68726125766,2.14963094871,3.26157876284,4.07619369103,10.1990570999,3.27528977795,10.3986510777,nan,4.99252316169,nan,1.98966230027,2.30947668693,2.25008762383,5.42431309322,2.57881763017,4.22925992549,2.09919650861,3.1267588058,2.75530808019,1.79331970953,1.54574760012,2.54761740874
2.35243616796,2.09152519809,1.56650955872,3.06452996003,2.85843944511,nan,2.11436996631,2.30749723005,2.55129477667,2.23627294654,3.39875368953,3.95482206708,10.0192759522,3.15867350892,10.8445939259,nan,4.96922286897,nan,1.997754278,2.40070242439,2.14548693563,5.15582710569,2.72470114273,4.07645519867,2.29941817867,2.98554445159,2.68196500394,1.92013109566,1.63667857448,2.52993606529
2.06387241262,2.13848047413,1.59650312023,3.09789702888,2.79092864502,nan,2.16719362037,2.45350747385,2.40721516172,2.54856050072,3.40048387361,4.07227660659,10.0521508623,3.02124241128,10.8202107919,nan,4.81741364849,nan,2.06195483215,2.26065034707,2.36767558358,5.79069510665,2.67515715669,3.85200546025,2.17065939563,3.02125416711,2.68197796662,2.18591679183,1.64492689666,2.72647151098
2.0098138179,2.15031000237,1.63579441516,3.24378488048,2.73275606218,nan,2.08458870381,2.41213637512,2.32982500617,2.57674263077,3.38168348648,4.10651734798,10.4587559272,3.01445509733,10.687181237,nan,4.97376444557,nan,2.16622763366,2.12697871923,2.50653980033,5.688213824,2.79357777033,3.62394693726,2.36586900862,3.07857848525,2.73606278827,2.21172693415,1.72084472186,2.64402481594
1.98996634881,2.13475091261,1.8036650134,3.19319788688,2.43510777963,nan,2.03741136099,2.43072027496,2.29465768967,2.61373189496,3.37593329308,3.92718820852,10.1830245653,2.9967527996,10.4961454642,nan,5.13118779876,nan,2.13669649639,1.99353427278,2.18655441813,5.16258556722,2.62941839081,3.67203767045,2.44964194067,3.03362651833,2.77866320492,2.23180502106,1.63961033516,2.66064210248
1.78276638255,2.04960323533,1.88789889448,3.09036982026,2.70899893341,nan,1.81501420029,2.43124914612,2.34443475648,2.4965669267,3.32669388515,3.98031899773,9.89902979992,3.06120069749,10.7294062345,nan,5.31607749289,nan,2.07857917846,1.88639720345,2.30582685322,4.67505872602,2.6900181827,3.3639569555,2.43849379293,2.95115591352,2.5900848129,2.12599870053,1.8451655478,2.25056938613
1.73670971259,2.40456165554,1.82409961029,3.14489812606,2.8038308301,nan,1.82594725961,2.54501585011,2.43264713711,2.60549677023,3.46841056505,3.88222772306,9.67749760729,3.26680336565,10.6259044545,nan,5.16894616036,nan,2.12615837038,1.80352244069,2.66524572727,4.43212102385,2.91028913532,3.62413099453,2.55361238405,2.88883188577,2.41493990279,2.14827533386,1.81653895734,2.64460499805
1.87113957998,1.94756127339,1.86602386515,3.22944191199,2.766352445,13.7062751094,2.0851330385,2.53094883223,2.60163324781,2.81815420634,3.55364867251,3.35368647014,9.72058341559,3.51446879636,10.5225757316,nan,5.26059745752,nan,2.04919014339,1.72542418758,3.32660068973,4.39940350768,3.03242200403,3.50331860295,2.72688271221,2.71564987177,2.44551391068,1.80232844624,1.87117961941,2.61680540359
